 ST22 short dumps,,
LASTCHTIME_s,Time when the job definition was last changed,
LASTSTRTDT_s,Start date of the previous execution of the job,
LASTSTRTTM_s,Start time of the previous execution of the job,
PERIODIC_s,Indicator if the job is periodic/recurring (X = Yes),
REAXSERVER_s,Requested target application server for job execution,
RELDATE_s,Date when the job was released (made ready for execution),
RELTIME_s,Time when the job was released,
RELUNAME_s,User who released the job,
SDLDATE_s,Date when the job was scheduled/defined,
SDLSTRTDT_s,Planned start date of the job,
SDLSTRTTM_s,Planned start time of the job,
SDLTIME_s,Time when the job was scheduled,
SDLUNAME_s,User who scheduled the job,
STATUS_s,"Current status of the job (e.g. 
- F = Finished       : Job completed successfully. Expected end state.
- S = Released       : Job released and waiting for scheduled start time or a free batch WP.
- P = Scheduled      : Job defined but not yet released by user or system event.
- A = Cancelled      : Job terminated abnormally — PRIMARY failure indicator for RCA.
- Z = Active         : Job is currently running in a batch work process.
- Y = Ready          : Job is ready and waiting for a free batch work process to become available.
- G = Released (restricted) : Released with additional restrictions.)",
STEPCOUNT_d,Number of steps or the specific step number within the job,
STRTDATE_s,Actual start date of the job execution,
STRTTIME_s,"Actual start time of the job execution (to calculate if there is a delay in job start check
 for - (STRTTIME_s-SDLSTRTTM_s) and consider this time as delay of the job)",
WPNUMBER_d,Work process number that executed the job step,
WPPROCID_d,(internal/OS-level identifier of the executing process),
,,
 SM21 system logs,,
LA table - SapNetweaver_SysLogs_CL ( schema names),Description,
Application_Comp_s,Business-friendly application component description,
Component_s,"SAP technical component classification (e.g., BC-CST)",
Description_s,Detailed error/log message text,
Development_Class_s,ABAP package (may be blank in LA),
Development_Unit_s,"SAP software component (e.g., SAP_BASIS)",
E2E_DATE_s,Date when the log/event occurred in SAP system,
E2E_HOST_s,Application server/host where event occurred,
E2E_SEVERITY_s,"Severity indicator of the event (1 - Very High Priority, 2 - High Priority)",
E2E_TIME_s,Time when the log/event occurred,
E2E_USER_s,SAP user who triggered the event,
Msg_area_Msd_Id_s,Message class and number identifier,
Problem_Class_s,"Category of problem (e.g., SAP Web AS Problem)",
Program_s,ABAP program where the issue occurred,
SID_s,SID of an SAP system,
Transaction_s,Transaction code (if available),
,,
ABAP Work process status ,SM66 Work process view,
LA table - SapNetweaver_ABAPGetWPTable_CL ( schema names),Description,
 SID_s               , SAP System ID,
 hostname_s          , Application server hostname,
 instanceNr_d        , Instance number,
 No_d                , Work process number,
 Typ_s               ," Work process type (DIA=Dialog, BTC=Background, UPD=Update, SPO=Spool, ENQ=Enqueue)",
 Status_s            ," Current status (Run, Wait, Hold, Stop, Ended, Semaphore)",
 Reason_s            ," Reason for current status (PRIV=Private mode, ROLL=Rolling, etc.)",
 Program_s           , ABAP program currently running by Work process,
 User_s              , User running this work process,
 Client_s            , SAP client,
 Action_s            , Current action by work process,
 Table_s             ,Current Action by work process on table,
 Cpu_s               , CPU time consumed,
 Err_s               , Error indicator - no. of times Work process is restrated,
 Sem_s               , Semaphore number (locked semaphore of work process),
 serverTimestamp_t   , Collection time,
Pid_d,Process  ID at OS level,
,,
Update record status,SM13  Update Monitoring - Contains failed update records (V1/V2 update failures).,
LA table - SapNetweaver_FailedUpdates_CL ( schema names),Description,Hints
hostname_s,Host name of the SAP application server,
instanceNr_s,SAP instance number,
MEMORY_EXEMPTION_s,Indicator related to memory handling/exemption (system internal use),
sapsid_s,SAP system ID,
serverTimestamp_t,Original timestamp from SAP system when event occurred,
SID_s,SAP system identifier (normalized field),
TEMPERATURE_s,Internal status/bitmask field used in update processing,
VBACCNT_s,Account number related to update (if financial posting involved),
VBCLIINFO_s,Technical client info indicator,
VBCLINAME_s,Application server name with instance no.(xx) where update originated,
VBCONTEXT_s,"Update context (*E* indicates error context) - failed update
*E*	Error context		Update failed and ended in error
*U*	Update context 		(normal)Standard update task execution (no error).
*V*	V1 update		High-priority update (synchronous update task). 
*W*	V2 update		Low-priority update (asynchronous). Often statistical/log updates.
*D*	Dialog context		Update triggered directly in dialog process (rare).
*B*	Background context	Update triggered from a background job.
*L*	Local update		Local update (SET UPDATE TASK LOCAL). Executes in same work process.
*R*	Restarted update	Update that was restarted after failure (via SM13).",
VBDATE_s,Timestamp of update request (YYYYMMDDHHMMSS),
VBDATFM_s,Date format indicator,
VBDCPFM_s,Decimal format indicator,
VBENQKEY_s,Enqueue (lock) key used during update,
VBETRANSID_s,External transaction identifier,
VBETRANSLN_s,External transaction line number,
VBKEY_g,Unique update record identifier (GUID),
VBLANG_s,Language key,
VBMANDT_s,SAP client number,
VBNAME_s,Application Server on which Update is running,
VBRC_s,Return code (1 indicates error),
VBREPORT_s,ABAP report/program executed in update task,
VBSTATE_s,"Update status (1 = failed update)
Value	Meaning				Explanation
0	Initial / Not yet processed	Update request created but not yet executed.
1	Error (Failed update)		Update terminated with error → appears in SM13 failed updates.
2	Successfully processed		Update completed successfully.
3	In process			Update currently being processed by update work process.
4	Terminated (manually or system)	Update was stopped/cancelled before completion.
5	Auto-restart / Retry state	Update scheduled for restart after failure.
6	Restarted successfully		Previously failed update, now successfully reprocessed.",
VBTCODE_s,Transaction code that triggered the update,
VBTIMOFF_s,Time offset from UTC,
VBTRANSID_g,Internal SAP transaction ID (GUID),
VBUSR_s,User who triggered the update,
VBZONLO_s,Application server time zone,
,,
SAP Process status,This will give details on SAP system healthy or not at each process level,
LA table - SapNetweaver_GetProcessList_CL ( schema names),Description,
SID_s,SAP System ID (logical system identifier  e.g. CHA),
description_s,"Human-readable name of the SAP process (e.g. Dispatcher, Gateway, ICM)",
dispstatus_s,"Status reported by SAPControl (e.g. GREEN = healthy, YELLOW = warning, RED = critical)",
elapsedtime_s,Total runtime of the process since it started (format hours minutes seconds),
hostname_s,Host/server name where the SAP instance/process is running,
instanceNr_d,SAP instance number (identifies a specific application server instance),
name_s,"Technical process name (OS-level process name, e.g.  disp+work, gwrd, icman)",
pid_d,Operating system Process ID (PID) of the SAP process,
sapsid_s,SAP System ID (same as SID  repeated for consistency in monitoring tools),
starttime_s,Timestamp when the process was last started,
textstatus_s,"Textual status of the process (e.g. Running,  Stopped)",
timestamp_t [UTC],Timestamp when this monitoring record was collected (in UTC),
,,
SAP System Availability Status,"This table will give the SAP system overall Availability status for each of the instance, also all available instances of an SAP system can be known like no. of application server, enqueue server, web dispatcher along with message server",
LA table - SapNetweaver_GetSystemInstanceList_CL  (schema names),Description,
SID_s           , SAP System ID,
hostname_s      ,SAP server hostname,
instanceNr_d    ,SAP Instance number (numeric) ,
features_s      ,"SAP  Instance role/features string, e.g.
 ""GATEWAY|MESSAGESERVER|ENQUE"" = ASCS instance (message server + enqueue)
 ""ABAP|GATEWAY|ICMAN|IGS""           = Application server instance (dialog + batch)
 ""WEBDISP""             = Web Dispatcher
 ""ENQREP""                = Enqueue Replication Server",
dispstatus_s    ,"SAP Instance status
SAPControl-GREEN  = Instance is running and healthy
 SAPControl-RED    = Instance is in error / down
SAPControl-YELLOW = Instance is degraded / warning
SAPControl-GRAY   = Instance is offline / not reachable",
startPriority_s , Startup priority (lower number = started first),
httpPort_d      , HTTP port,
httpsPort_d     , HTTPS port,
serverTimestamp_t , Collection timestamp — use for KQL time filtering,
,,
High Availability Cluster Status,"This table will give the overall High Availability Cluster status with all resources hosted on the cluster with status,Cluster node status, resource constraints , DC status , quorum status",
LA table - Prometheus_HaClusterExporter_CL  (schema names),Description,
clusterName_s   , HA cluster name,
correlation_id_g, Batch ID — links all metrics in one collection cycle,
hostname_s      , Cluster node reporting this metric,
labels_s        , JSON labels — always parse with parse_json(),
name_s          ," Metric name which has the respective data in labels_s for all these name types
ha_cluster_corosync_member_votes
ha_cluster_corosync_quorate
ha_cluster_corosync_quorum_votes
ha_cluster_corosync_ring_errors
ha_cluster_corosync_rings
ha_cluster_pacemaker_config_last_change_total
ha_cluster_pacemaker_fail_count
ha_cluster_pacemaker_location_constraints
ha_cluster_pacemaker_maintenance_mode_enabled
ha_cluster_pacemaker_migration_threshold
ha_cluster_pacemaker_node_attributes
ha_cluster_pacemaker_nodes
ha_cluster_pacemaker_resources
ha_cluster_pacemaker_stonith_enabled
ha_cluster_scrape_duration_seconds
ha_cluster_scrape_success",
sid_s           , SAP SID,
TimeGeneratedPrometheus_t, Collection timestamp — USE for KQL time filtering,
value_d         , 1 = condition is true / matches state; 0 = not,
,,
OS metrics Data,This table will give the overall Operating system metrics status,
LA table - Prometheus_OSExporter_CL (schema names),Description,
SID_s      , SID of an SAP system ,
name_s          ," Metric name which has the respective data in labels_s for all these name types
node_cpu_seconds_total
node_disk_io_now
node_disk_io_time_seconds_total
node_disk_read_bytes_total
node_disk_read_time_seconds_total
node_disk_reads_completed_total
node_disk_write_time_seconds_total
node_disk_writes_completed_total
node_disk_written_bytes_total
node_forks_total
node_memory_Buffers_bytes
node_memory_Cached_bytes
node_memory_MemAvailable_bytes
node_memory_MemFree_bytes
node_memory_MemTotal_bytes
node_memory_SwapCached_bytes
node_memory_SwapFree_bytes
node_memory_SwapTotal_bytes
node_network_receive_bytes_total
node_network_receive_packets_total
node_network_transmit_bytes_total
node_network_transmit_packets_total
node_procs_blocked
node_procs_running
node_uname_info
node_vmstat_pgpgin
node_vmstat_pgpgout
node_vmstat_pswpin
node_vmstat_pswpout
node_boot_time_seconds
node_filesystem_avail_bytes
node_filesystem_free_bytes
node_filesystem_size_bytes
node_time_seconds
node_cooling_device_cur_state
",
labels_s        , JSON string of metric labels — always parse with parse_json(),
value_d         , Metric value,
TimeGeneratedPrometheus_t, Metric collection time — USE for KQL time filtering,
correlation_id_g, Batch correlation ID (links all metrics in one collection cycle),
